date,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
2026-10-21,-0.64776826,-0.17258865,0.030188497,-0.057822008,-0.15635006,-0.01177045,0.3131775,0.023946702,-0.85549116,0.50185275,0.097169675,-0.38561606,-0.45747557,0.38870832,0.16429108,0.02943959,0.2388311,-0.32489118,-0.17649893,-0.120285764,-0.24103537,-0.39902976,0.046740815,-0.51662177,0.052910194,0.37490588,-0.09208341,0.09348823,-0.026752394,-0.037449703,0.25985432,0.6718133
2026-10-22,-0.6478965,-0.1706205,0.028201912,-0.05633006,-0.15799834,-0.009725586,0.31294322,0.022548735,-0.85722595,0.50173825,0.09922369,-0.38644284,-0.45487353,0.39074785,0.16667853,0.029981347,0.23995739,-0.32565188,-0.17523076,-0.12009353,-0.2404793,-0.39667356,0.04688461,-0.5168908,0.05403982,0.37582296,-0.08905795,0.09453584,-0.029545218,-0.039510917,0.25772008,0.67119724
2026-10-23,-0.648638,-0.16823715,0.02545606,-0.054915275,-0.16086914,-0.0072041005,0.3122654,0.020530574,-0.86065334,0.5016485,0.101789534,-0.38726974,-0.4513587,0.39377484,0.17035653,0.030452173,0.24199146,-0.32768708,-0.17324041,-0.118841894,-0.23950711,-0.3935211,0.047006033,-0.517418,0.055788428,0.37728947,-0.08433333,0.09609884,-0.03394704,-0.042429734,0.25465545,0.6703435
2026-10-26,-0.649101,-0.16719165,0.023786772,-0.054252256,-0.16208185,-0.006149523,0.3118722,0.019505192,-0.86245203,0.5015434,0.10319251,-0.38792276,-0.44992402,0.39499694,0.17237385,0.030598648,0.24290067,-0.32863012,-0.17213242,-0.11815648,-0.23902847,-0.39206523,0.047155984,-0.5178929,0.056473777,0.37787175,-0.08217014,0.09679915,-0.03600093,-0.043781776,0.2530445,0.67010486
2026-10-27,-0.6495333,-0.16649687,0.022365686,-0.053784568,-0.16306531,-0.0054553375,0.3115152,0.018743236,-0.86397624,0.5015022,0.10418753,-0.3883489,-0.44886574,0.39589623,0.174015,0.030692926,0.24372,-0.3295001,-0.17114915,-0.117496796,-0.23860018,-0.3909364,0.047259703,-0.51831645,0.0568904,0.37838823,-0.080423504,0.09732868,-0.03767998,-0.044838026,0.25179797,0.67000645
2026-10-28,-0.65216655,-0.16670786,0.019810058,-0.054839965,-0.16585639,-0.0053629577,0.31014735,0.017336987,-0.8689968,0.50163937,0.1048095,-0.38839203,-0.44801572,0.39720088,0.17743762,0.029657818,0.24592638,-0.33332387,-0.1690192,-0.113907926,-0.23748484,-0.38989222,0.047438547,-0.51943713,0.057702616,0.37970656,-0.07667227,0.098269105,-0.041397173,-0.046218954,0.24971987,0.6702365
2026-10-29,-0.65468174,-0.16812713,0.018631924,-0.056920003,-0.16726518,-0.0066221505,0.30902058,0.016988568,-0.87259674,0.5018888,0.10407577,-0.38807502,-0.44921187,0.39686286,0.17888787,0.028218608,0.2470483,-0.33630216,-0.16788067,-0.11065827,-0.23695932,-0.39083257,0.04764663,-0.52028304,0.05761911,0.38033187,-0.075299144,0.09844695,-0.042857647,-0.046010494,0.24927662,0.67091054
2026-10-30,-0.65813017,-0.17013822,0.017277643,-0.05977953,-0.16943486,-0.008424118,0.30744708,0.016550988,-0.87754357,0.50228375,0.1028732,-0.38745624,-0.45066205,0.39657763,0.18080379,0.02631209,0.24876401,-0.3405575,-0.16633232,-0.10613496,-0.23624714,-0.39203468,0.04784061,-0.5213137,0.05757925,0.38132787,-0.07325694,0.09876688,-0.0449665,-0.04569605,0.24879472,0.6717773
2026-11-02,-0.6593248,-0.16975054,0.015754774,-0.06013329,-0.1710058,-0.00795231,0.30681053,0.015764162,-0.88023424,0.5024427,0.10348073,-0.38757062,-0.4495112,0.39751852,0.18254903,0.026001476,0.2501908,-0.34258953,-0.16482438,-0.10432534,-0.23573495,-0.39127386,0.048010096,-0.52158886,0.057959214,0.3822919,-0.07061757,0.09942922,-0.04725175,-0.046848416,0.24742483,0.67141676
2026-11-03,-0.66044074,-0.16822705,0.013291685,-0.059537355,-0.17349176,-0.006318547,0.30598044,0.014158707,-0.8836833,0.50244445,0.10524121,-0.38814855,-0.4470801,0.39969915,0.18570757,0.025993984,0.2520498,-0.34487018,-0.16293354,-0.102562964,-0.23487835,-0.389105,0.04818484,-0.5222159,0.059212893,0.38356572,-0.06663121,0.10067651,-0.050992806,-0.049073897,0.24494447,0.67089176
